"180004","440 HOPKINSVILLE STREET, GREENVILLE, KY, 42345","Match","Exact","440 HOPKINSVILLE ST, GREENVILLE, KY, 42345","-87.1889,37.19702","639471221","R"
"110115","303 PARKWAY DR NE, ATLANTA, GA, 30312","Match","Exact","303 PARKWAY DR NE, ATLANTA, GA, 30312","-84.37363,33.764057","17357157","R"
"40036","3333 SPRINGHILL DRIVE, NORTH LITTLE RO, AR, 72117","Match","Non_Exact","3333 SPRINGHILL DR, NORTH LITTLE ROCK, AR, 72117","-92.21844,34.7838","83569363","R"
"180005","5000 KENTUCKY RTE 321, PRESTONSBURG, KY, 41653","No_Match"
"110111","521 HILL STREET, SW, THOMSON, GA, 30824","Match","Non_Exact","521 HILL ST, THOMSON, GA, 30824","-82.5107,33.45987","43150728","L"
"500019","914 S SCHEUBER ROAD, CENTRALIA, WA, 98531","Tie"
"40039","900 WEST KINGSHIGHWAY, PARAGOULD, AR, 72450","Match","Exact","900 W KINGSHIGHWAY, PARAGOULD, AR, 72450","-90.497925,36.052555","639926947","L"
"270023","2827 FORT MISSOULA RD, MISSOULA, MT, 59804","Match","Exact","2827 FORT MISSOULA RD, MISSOULA, MT, 59804","-114.04575,46.846","640331234","R"
"500016","1201 SOUTH MILLER STREET, WENATCHEE, WA, 98807","Match","Non_Exact","1201 S MILLER ST, WENATCHEE, WA, 98801","-120.32455,47.407276","635991495","L"
"500021","11315 BRIDGEPORT WAY S W, LAKEWOOD, WA, 98499","No_Match"
"520091","240 MAPLE ST PO BOX 470, WOODRUFF, WI, 54568","Match","Exact","240 MAPLE ST, WOODRUFF, WI, 54568","-89.701836,45.894352","639539081","R"
"500026","21601 76TH AVENUE WEST, EDMONDS, WA, 98026","Match","Exact","21601 76TH AVE W, EDMONDS, WA, 98026","-122.33569,47.803223","187755668","L"
"500025","500 17TH AVENUE, SEATTLE, WA, 98122","Match","Exact","500 17TH AVE, SEATTLE, WA, 98122","-122.31024,47.60624","186592702","R"
"500024","413 LILLY ROAD NE, OLYMPIA, WA, 98506","Match","Exact","413 LILLY RD NE, OLYMPIA, WA, 98506","-122.84444,47.052685","609038464","L"
"180009","2201 LEXINGTON AVENUE, ASHLAND, KY, 41101","Match","Exact","2201 LEXINGTON AVE, ASHLAND, KY, 41101","-82.63585,38.470314","151047986","L"
"410001","111 BREWSTER STREET, PAWTUCKET, RI, 2860","Match","Exact","111 BREWSTER ST, PAWTUCKET, RI, 02860","-71.375175,41.871365","47484160","R"
"520098","600 HIGHLAND AVENUE, MADISON, WI, 53792","Match","Exact","600 HIGHLAND AVE, MADISON, WI, 53792","-89.42897,43.077263","641705209","L"
"520097","1726 SHAWANO AVE, GREEN BAY, WI, 54303","No_Match"
"520096","3801 SPRING ST, RACINE, WI, 53405","No_Match"
"430077","353 FAIRMONT BLVD  PO BOX 6000, RAPID CITY, SD, 57701","Match","Non_Exact","353 E FAIRMONT BLVD, RAPID CITY, SD, 57701","-103.21016,44.0547","205510286","R"
"520095","80 FIRST ST, PRAIRIE DU SAC, WI, 53578","Match","Exact","80 1ST ST, PR DU SAC, WI, 53578","-89.72097,43.28314","86538222","R"
"430013","525 N FOSTER, MITCHELL, SD, 57301","Match","Non_Exact","525 FOSTER ST, MITCHELL, SD, 57301","-98.00735,43.713985","200658095","L"
"40020","225 E JACKSON, JONESBORO, AR, 72401","No_Match"
"430012","501 SUMMIT, YANKTON, SD, 57078","Match","Non_Exact","501 SUMMIT ST, YANKTON, SD, 57078","-97.40741,42.875347","172837657","L"
"430015","801 E SIOUX, PIERRE, SD, 57501","No_Match"
"430014","305 S STATE ST, ABERDEEN, SD, 57401","Match","Non_Exact","305 N STATE ST, ABERDEEN, SD, 57401","-98.47934,45.469086","200795366","L"
"110189","2855 OLD HIGHWAY 5 NORTH, BLUE RIDGE, GA, 30513","No_Match"
"430016","1325 S CLIFF AVE  PO BOX 5045, SIOUX FALLS, SD, 57117","No_Match"
"110187","227 MOUNTAIN DR, DAHLONEGA, GA, 30533","Match","Exact","227 MOUNTAIN DR, DAHLONEGA, GA, 30533","-83.978806,34.52131","632279968","L"
